"Reporting month";"Sales Month";"Platform";"Country / Region";"Label Name";"Artist Name";"Release title";"Track title";;;"Release Catalog nb";"Product";"Sales Type";"Quantity";"Client Payment Currency";"Net Revenue"
"2019-03-01";"2019-03-01";"YouTube Red";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";6;"EUR";0.047545154727
"2019-03-01";"2019-03-01";"YouTube Red";"Japan";"Label";"Band";"Song 3";;;;;;"Stream";1;"EUR";0.008491374846
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Finland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";331;"EUR";0.562992214754
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Puerto rico";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.000120417185
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Bulgaria";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";4.8428716E-05
"2019-03-01";"2019-03-01";"Apple Music";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.006907982289
"2019-03-01";"2019-03-01";"YouTube Red";"India";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00019306016
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Poland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";13;"EUR";6.9370377E-05
"2019-03-01";"2019-03-01";"Apple Music";"Canada";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";4;"EUR";0.009982457909
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";128;"EUR";0.004825193686
"2019-03-01";"2019-03-01";"YouTube Red";"Brazil";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.00387952756
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Belgium";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";7;"EUR";0.001796441349
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Spain";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";27;"EUR";0.000602739776
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Hungary";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";6;"EUR";0.00034816273
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Denmark";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";0.000371068172
"2019-03-01";"2019-03-01";"YouTube Red";"Japan";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.008491374846
"2019-03-01";"2019-03-01";"YouTube Red";"United kingdom";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.013844704037
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Greece";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";5.889971E-05
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"United kingdom";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";8;"EUR";0.000168845835
"2019-03-01";"2019-03-01";"YouTube Red";"Sweden";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00943115244
"2019-03-01";"2019-03-01";"YouTube Red";"Finland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";5;"EUR";0.039641468097
"2019-03-01";"2019-03-01";"YouTube Red";"Russian federation";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.006600039717
"2019-03-01";"2019-03-01";"YouTube Red";"Canada";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.003263043929
"2019-03-01";"2019-03-01";"YouTube Red";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.011579028529
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";55;"EUR";0.000410334645
"2019-03-01";"2019-03-01";"YouTube Red";"Chile";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.002164237119
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Italy";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";8;"EUR";3.1413179E-05
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Czech republic";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";6;"EUR";0.045700284925
"2019-03-01";"2019-03-01";"Youtube Audio Fingerprint";"Brazil";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";16;"EUR";0.002468552287
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"Brazil";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";6.9475896E-05
"2019-04-01";"2019-03-01";"Spotify Stream";"Switzerland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";7;"EUR";0.02509774605
"2019-04-01";"2019-04-01";"iTunes Match";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";0.000869342882
"2019-04-01";"2019-04-01";"YouTube Red";"Japan";"Label";"Band";"Song 3";;;;;;"Stream";1;"EUR";0.008530460158
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"Turkey";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";2.2940154E-05
"2019-04-01";"2019-03-01";"Spotify Stream";"Norway";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";7;"EUR";0.03228170868
"2019-04-01";"2019-04-01";"YouTube Red";"France";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.008173249187
"2019-04-01";"2019-04-01";"Apple Music";"Canada";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";0.004947918669
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"India";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.000684272025
"2019-04-01";"2019-03-01";"Spotify Stream";"Turkey";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00050697972
"2019-04-01";"2019-03-01";"Spotify Stream";"Argentina";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00069972201
"2019-04-01";"2019-04-01";"YouTube Red";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.002248790534
"2019-04-01";"2019-04-01";"Apple Music";"United kingdom";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.023575587178
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"Finland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";116;"EUR";0.01366971142
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"Sweden";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";0.000155992982
"2019-04-01";"2019-03-01";"Spotify Stream";"Portugal";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";8;"EUR";0.010923298051
"2019-04-01";"2019-03-01";"Google Sub";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";6;"EUR";0.021615937386
"2019-04-01";"2019-03-01";"Spotify Stream";"Italy";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";6;"EUR";0.0071547138
"2019-04-01";"2019-03-01";"Spotify Stream";"Chile";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.00021974121
"2019-04-01";"2019-04-01";"Apple Music";"Australia";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.01196051894
"2019-04-01";"2019-04-01";"Facebook / Instagram";"Worldwide";"Label";"Band";"Song 3";;;;;;"Stream";1;"EUR";0.000114074487
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";11;"EUR";6.5543232E-05
"2019-04-01";"2019-03-01";"Spotify Stream";"United kingdom";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";5;"EUR";0.0157043718
"2019-04-01";"2019-03-01";"Google Sub";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.004616102849
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"Argentina";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";6.55433E-06
"2019-04-01";"2019-04-01";"Youtube Audio Fingerprint";"Poland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";7.3408493E-05
"2019-04-01";"2019-03-01";"Spotify Stream";"Finland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";367;"EUR";1.362872926902
"2019-04-01";"2019-03-01";"Spotify Stream";"Sweden";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";33;"EUR";0.086646329009
"2019-04-01";"2019-03-01";"Spotify Stream";"Poland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";32;"EUR";0.054215256303
"2019-04-01";"2019-03-01";"UMA (Vkontakte)";"Russian federation";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";5;"EUR";5.4782848E-05
"2019-04-01";"2019-04-01";"iTunes";"Canada";"Label";"Band";"Song 3";"Song 3 ";;;;;"Download";1;"EUR";0.431160201877
"2019-04-01";"2019-04-01";"YouTube Red";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";7;"EUR";0.060368654081
"2019-04-01";"2019-04-01";"YouTube Red";"Finland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.021043331068
"2019-04-01";"2019-03-01";"Spotify Stream";"Austria";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";7;"EUR";0.01867201059
"2019-04-01";"2019-03-01";"Spotify Stream";"Mexico";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00080696772
